sample	population	vapr	AnnTemp	Iso	TempSea	MaxTempWarm	MinTempCold	AnnPre	PreWet	PreDry	Lats.	Lons.
AA0040-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0041-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0042-C	GHM_1	3.008899987	258	68	1023	313	213	1416	331	30	4.91217	-1.77397
AA0043-C	GHM_1	3.008899987	258	68	1023	313	213	1416	331	30	4.91217	-1.77397
AA0044-C	GHM_1	3.008899987	258	68	1023	313	213	1416	331	30	4.91217	-1.77397
AA0048-C	GHS_1	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0049-C	GHM_3	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0050-C	GHS_1	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0051-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0052-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0053-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0054-C	GHM_1	3.008899987	258	68	1023	313	213	1416	331	30	4.91217	-1.77397
AA0055-C	GHM_1	3.008899987	258	68	1023	313	213	1416	331	30	4.91217	-1.77397
AA0056-C	GHM_1	3.008899987	258	68	1023	313	213	1416	331	30	4.91217	-1.77397
AA0060-C	GHS_1	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0061-C	GHS_1	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0063-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0064-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0066-C	GHM_1	3.008899987	258	68	1023	313	213	1416	331	30	4.91217	-1.77397
AA0067-C	GHM_1	3.008899987	258	68	1023	313	213	1416	331	30	4.91217	-1.77397
AA0068-C	GHM_1	3.008899987	258	68	1023	313	213	1416	331	30	4.91217	-1.77397
AA0072-C	GHS_1	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0073-C	GHM_3	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0074-C	GHM_3	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0075-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0076-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0077-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0080-C	GHM_1	3.008899987	258	68	1023	313	213	1416	331	30	4.91217	-1.77397
AA0084-C	GHS_1	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0085-C	GHS_1	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0086-C	GHS_1	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0087-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0088-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0089-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0090-C	GHM_1	3.008899987	258	68	1023	313	213	1416	331	30	4.91217	-1.77397
AA0091-C	GHM_1	3.008899987	258	68	1023	313	213	1416	331	30	4.91217	-1.77397
AA0096-C	GHS_1	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0097-C	GHM_3	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0098-C	GHM_3	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0099-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0100-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0101-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0102-C	GHM_1	3.008899987	258	68	1023	313	213	1416	331	30	4.91217	-1.77397
AA0103-C	GHM_1	3.008899987	258	68	1023	313	213	1416	331	30	4.91217	-1.77397
AA0104-C	GHM_1	3.008899987	258	68	1023	313	213	1416	331	30	4.91217	-1.77397
AA0107-C	GHM_3	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0108-C	GHS_1	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0109-C	GHM_3	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0110-C	GHM_3	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0111-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0113-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0114-C	GHM_1	3.008899987	258	68	1023	313	213	1416	331	30	4.91217	-1.77397
AA0115-C	GHM_1	3.008899987	258	68	1023	313	213	1416	331	30	4.91217	-1.77397
AA0116-C	GHM_1	3.008899987	258	68	1023	313	213	1416	331	30	4.91217	-1.77397
AA0122-C	GHS_1	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0123-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0124-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0125-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0127-C	GHM_1	3.008899987	258	68	1023	313	213	1416	331	30	4.91217	-1.77397
AA0132-C	GHM_3	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0133-C	GHS_1	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0134-C	GHM_3	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0135-C	GHM_2	2.831800024	263	75	968	321	216	1541	255	36	5.60858	-1.54926
AA0136-C	GHM_1	3.008899987	258	68	1023	313	213	1416	331	30	4.91217	-1.77397
AA0139-C	GHM_3	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0140-C	GHM_3	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0141-C	GHM_3	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AB0085-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0087-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0088-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
